,id,links,name_of_product,price_of_product
73,9,//static.clickbd.com/global/classified/item_img/2698388_0_large.jpg,Nike-Air-Max 20 Shoe T4,12500
74,10,//static.clickbd.com/global/classified/item_img/2698387_0_large.jpg,Nike Air Max 20 Shoe T3 ,12500
75,11,//static.clickbd.com/global/classified/item_img/2698386_0_large.jpg,Nike Air Max 20 Shoe T2,12500
76,12,//static.clickbd.com/global/classified/item_img/2698385_0_large.jpg,Nike Air Max 20 Shoe T1,12500
77,13,//static.clickbd.com/global/classified/item_img/2688764_0_large.jpg,Boston Safety Shoes PPE,2000
78,14,//static.clickbd.com/global/classified/item_img/2688756_0_large.jpg,Safety Shoes PPE,2000
79,15,//static.clickbd.com/global/classified/item_img/2688148_0_large.jpg,Reebok Royal Bridge 3.0 Unisex shoes,4000
80,16,//static.clickbd.com/global/classified/item_img/2688146_0_large.jpg,Reebok Royal Bridge 3.0 Unisex shoes,4000
81,17,//static.clickbd.com/global/classified/item_img/2684531_0_large.jpg,Gray Mesh Men Sport Sneaker Shoes,1790
82,18,//static.clickbd.com/global/classified/item_img/2664362_0_large.jpg,Shoes Bought from USA ,6500
83,19,//static.clickbd.com/global/classified/item_img/2664347_0_large.jpg,Shoes Bought from USA ,5000
84,20,//static.clickbd.com/global/classified/item_img/2664338_0_large.jpg,Shoes Bought from USA ,9500
85,21,//static.clickbd.com/global/classified/item_img/2659089_0_large.jpg,Genuine WOODLAND BOOT Brand New,3000
86,22,//static.clickbd.com/global/classified/item_img/2658628_0_large.jpg,Hillson Footwear Beston Safety Shoes In Bangladesh,1700
87,23,//static.clickbd.com/global/classified/item_img/2658609_0_large.jpg,Hillson Footwear Beston Safety Shoes In Bangladesh,1700
88,24,//static.clickbd.com/global/classified/item_img/2654698_0_large.jpg,shoes,2500
89,25,//static.clickbd.com/global/classified/item_img/2642317_0_large.jpg,Nike Shoe Brand imported,2050
90,26,//static.clickbd.com/global/classified/item_img/2639598_0_large.jpg,24 pr over door shoe rack,1900
91,27,//static.clickbd.com/global/classified/item_img/2637771_0_large.jpg,Kitchen Wall Cabinet False Ceiling TV shoe rack Dining Sho,350000
92,28,//static.clickbd.com/global/classified/item_img/2636958_0_large.jpg,Safety Shoes BLD Code No-66 ,520
